id,title,original_language,popularity,release_date,vote_average,vote_count
267,How the Grinch Stole Christmas,en,106.864,11/17/2000,6.8,7041
268,Spider-Man: Into the Spider-Verse,en,128.097,12/6/2018,8.4,14458
269,Immersion,ja,114.034,6/16/2023,6,5
270,It Lives Inside,en,114.628,9/6/2023,6,114
271,Kho Gaye Hum Kahan,hi,179.397,12/26/2023,6.6,25
272,The Lion King,en,106.746,6/24/1994,8.3,17315
273,One Piece: Episode of Skypiea,ja,135.9,8/25/2018,7.3,65
274,Monster,ja,127.487,6/2/2023,8.1,88
275,The Conjuring: The Devil Made Me Do It,en,102.267,5/25/2021,7.5,5546
276,Troll,no,115.692,12/1/2022,6.7,1565
277,Smile,en,92.27,9/23/2022,6.7,2520
278,Venom: Let There Be Carnage,en,141.044,9/30/2021,6.8,9407
279,Glass Onion: A Knives Out Mystery,en,108.16,11/12/2022,7.1,4818
280,Venom: Let There Be Carnage,en,141.044,9/30/2021,6.8,9407
281,Glass Onion: A Knives Out Mystery,en,108.16,11/12/2022,7.1,4818
282,Murder City,en,98.816,6/29/2023,7.4,5
283,Zack Snyder's Justice League,en,116.918,3/18/2021,8.2,9453
284,Freestyle,pl,118.525,9/13/2023,6.8,44
285,Deadpool,en,113.004,2/9/2016,7.6,29263
286,Train to Busan,ko,115.506,7/20/2016,7.8,6882
287,The Hunger Games: Catching Fire,en,105.753,11/15/2013,7.4,16576
288,Jujutsu Kaisen 0,ja,148.43,12/24/2021,8.2,1181
289,Bitconned,en,99.387,1/1/2024,6,15
290,Past Lives,en,131.756,6/2/2023,7.9,479
291,Jashin-chan Dropkick [Seikimatsu-hen],ja,118.77,12/27/2023,0,0
292,No Hard Feelings,en,128.449,6/15/2023,7,2146
293,Spirited Away,ja,113.379,7/20/2001,8.5,15347
294,After We Fell,en,119.183,9/1/2021,7.1,2409
295,Terrifier 2,en,98.35,10/6/2022,6.8,1548
296,Pirates of the Caribbean: At World's End,en,116.841,5/19/2007,7.2,13569
297,Godzilla,en,108.644,5/14/2014,6.3,8557
298,The Lord of the Rings: The Return of the King,en,110.239,12/1/2003,8.5,22820
299,Alive,en,139.162,1/15/1993,6.9,1320
300,Godzilla,en,108.644,5/14/2014,6.3,8557
301,The Lord of the Rings: The Return of the King,en,110.239,12/1/2003,8.5,22819
302,Alive,en,139.162,1/15/1993,6.9,1319
303,The Bremen Town Musicians,ru,103.765,1/1/2024,0,0
304,The Boogeyman,en,104.484,5/31/2023,6.5,687
305,The Black Demon,en,102.225,4/26/2023,6.2,566
306,Frozen,en,113.047,11/20/2013,7.2,15780
307,The Equalizer 2,en,86.904,7/19/2018,6.7,4898
308,Fifty Shades Freed,en,119.546,1/17/2018,6.7,7640
309,Ice Age,en,112.869,3/10/2002,7.4,12524
310,Gone Girl,en,98.325,10/1/2014,7.9,17668
311,Let Her Kill You,fr,102.76,3/8/2023,6.4,109
312,Disco Inferno,en,167.493,10/20/2023,5.7,24
313,1962 Halloween Massacre,en,96.103,7/28/2023,6.5,2
314,Cars 3,en,111.076,6/15/2017,6.9,5386
315,Home Alone 2: Lost in New York,en,153.223,11/19/1992,6.7,9002
316,The Boss Baby: Christmas Bonus,en,104.385,12/6/2022,6.8,275
317,Pirates of the Caribbean: On Stranger Tides,en,107.225,5/15/2011,6.5,13339
318,Mallari,tl,165.329,12/25/2023,0,0
319,Howl's Moving Castle,ja,106.396,9/9/2004,8.4,9022
320,Viking: Bloodlust,en,88.325,4/21/2023,6.9,66
321,Shrek Forever After,en,101.646,5/16/2010,6.4,6895
322,Shin Kamen Rider,ja,83.293,3/17/2023,7,229
323,The Woman King,en,92.785,9/16/2022,7.7,1828
324,The Hunger Games: Mockingjay - Part 2,en,104.095,11/18/2015,6.9,11884
325,One Piece Film Red,ja,119.622,8/6/2022,7.3,818
326,How to Train Your Dragon: The Hidden World,en,97.343,1/3/2019,7.8,5947
327,Mad Max: Fury Road,en,116.985,5/13/2015,7.6,21224
328,God Is a Bullet,en,88.511,6/22/2023,6.3,117
329,Pirates of the Caribbean: Dead Man's Chest,en,102.996,7/6/2006,7.3,15107
330,Inception,en,106.836,7/15/2010,8.4,35027
331,Deadpool 2,en,96.412,5/10/2018,7.5,16597
332,Big Hero 6,en,110.534,10/24/2014,7.7,14940
333,Murder Mystery 2,en,91.286,3/28/2023,6.5,1475
334,Blade Runner 2049,en,104.603,10/4/2017,7.6,12675
335,Anatomy of a Fall,fr,161.386,8/13/2023,7.7,561
336,Crater,en,93.261,5/12/2023,6.6,223
337,"Monsters, Inc.",en,101.458,11/1/2001,7.8,17502
338,Wrath of Man,en,98.316,4/22/2021,7.7,4807
339,Maleficent: Mistress of Evil,en,84.499,10/16/2019,7.3,5796
340,The Lord of the Rings: The Two Towers,en,102.958,12/18/2002,8.4,20673
341,Jack Reacher: Never Go Back,en,96.921,10/19/2016,6,4586
342,X,en,118.487,3/17/2022,6.8,2518
343,Rebel Moon - Part Two: The Scargiver,en,94.852,4/19/2024,0,0
344,TAYLOR SWIFT | THE ERAS TOUR,en,131.134,10/13/2023,8.4,224
